movieid,year,isEnglish,country,runningtime,genres,avg_rating,num_ratings,is_a_hit,number_actors,actor_quality,director_quality,director_revenue,director_number
1704569,4,T,USA,0,Comedy,3.1488250652741514,766.0,1,many,high,low,high,single
1704571,4,T,USA,0,Comedy,2.480719794344473,389.0,1,few,low,low,high,single
1704577,2,T,USA,1,Drama,3.7948717948717934,39.0,0,few,high,high,high,single
1704645,4,T,UK,1,Action,1.64,125.0,0,few,low,low,high,single
1705196,4,T,USA,0,Adventure,3.5,8.0,0,few,low,low,high,single
1705417,4,T,USA,1,Action,2.254054054054054,185.0,1,many,low,low,high,single
1706079,4,T,USA,0,Comedy,2.907127429805616,463.0,1,many,low,low,high,single
1706140,4,T,USA,1,Comedy,3.1,240.0,1,few,low,low,high,single
1706887,4,T,USA,0,Action,1.5454545454545454,11.0,0,few,low,low,low,single
1707277,4,T,USA,1,Action,3.2754158964879854,541.0,1,many,high,low,high,single
1707941,4,T,USA,1,Drama,3.611111111111111,198.0,1,few,high,low,high,single
1708591,4,T,USA,0,Drama,4.088235294117647,102.0,0,many,high,low,low,single
1708982,4,T,USA,1,Comedy,3.109756097560976,82.0,0,few,low,low,low,single
1709238,3,T,USA,1,Action,3.2481203007518795,133.0,1,few,low,high,high,single
1709892,4,T,USA,0,Comedy,3.323529411764706,34.0,0,many,low,high,low,single
1709901,4,T,USA,1,Drama,3.380434782608696,276.0,1,many,low,high,high,single
1710609,3,F,other,1,Drama,,,0,few,high,high,low,single
1710622,3,F,other,1,Drama,3.380952380952381,42.0,0,few,high,high,low,single
1710673,4,F,other,1,Drama,3.0,1.0,0,few,high,high,low,single
1710994,4,F,other,1,Drama,3.65,20.0,0,many,high,high,low,single
1711133,4,T,USA,1,Action,2.7549019607843137,306.0,1,few,low,low,high,single
1711143,4,T,USA,1,Comedy,2.4910714285714284,112.0,0,many,low,low,high,single
1711145,4,T,USA,0,Comedy,2.115942028985508,69.0,0,many,low,low,high,single
1711175,4,T,USA,1,Action,3.5882899628252787,1076.0,1,many,low,high,high,single
1711356,4,T,USA,0,Comedy,2.53061224489796,245.0,1,many,low,low,high,single
1711383,3,T,USA,0,Comedy,2.9802867383512543,558.0,1,many,low,low,high,single
1711384,3,T,USA,0,Comedy,3.9711149624494513,1731.0,1,many,high,high,high,multiple
1711393,3,T,USA,1,Action,2.354430379746836,79.0,0,many,low,low,high,single
1711395,3,T,USA,1,Drama,3.1452513966480447,179.0,1,many,low,high,high,multiple
1711398,3,T,USA,1,Action,2.630952380952381,84.0,0,many,low,low,high,single
1712152,4,F,other,1,Animation,3.933628318584071,452.0,1,many,high,high,low,single
1713183,4,T,USA,0,Adventure,3.788304959289415,1351.0,1,few,high,high,high,multiple
1713499,4,T,USA,1,Adventure,3.395348837209302,43.0,0,few,low,low,high,single
1713755,4,T,USA,1,Crime,2.851063829787234,94.0,0,few,low,low,low,single
1714481,2,T,USA,1,Drama,3.75,16.0,0,few,high,high,low,single
1714991,4,F,France,1,Drama,2.9285714285714284,14.0,0,few,low,high,low,single
1715025,2,T,USA,0,Adventure,3.697142857142857,525.0,1,few,high,high,high,multiple
1715186,3,T,USA,1,Horror,3.845773381294964,2224.0,1,few,high,high,high,single
1715253,4,T,USA,0,Other,2.55,20.0,0,few,low,low,low,single
1715288,4,T,USA,0,Crime,3.2242063492063493,504.0,1,many,low,low,high,single
1715380,4,T,USA,1,Action,2.958921694480103,779.0,1,many,low,high,high,single
1715404,4,T,USA,1,Action,4.125824175824176,1820.0,1,few,high,high,high,single
1715607,4,T,USA,1,Action,3.401639344262295,366.0,1,many,high,low,high,single
1715793,2,T,USA,1,Drama,4.255583126550868,403.0,1,few,high,high,low,single
1716019,4,T,other,0,Animation,2.869767441860465,215.0,1,few,low,low,high,multiple
1716020,4,T,USA,0,Adventure,2.08,75.0,0,few,low,low,high,multiple
1716411,4,T,USA,0,Drama,3.6666666666666665,21.0,0,few,low,low,low,single
1716452,2,T,USA,1,Drama,4.1940298507462686,268.0,1,few,high,high,low,single
1716615,3,T,USA,1,Drama,3.823343848580442,317.0,1,many,high,high,high,single
1717077,2,T,USA,1,Drama,4.033613445378151,119.0,0,few,high,high,low,single
1717117,4,T,USA,1,Drama,3.333333333333333,12.0,0,few,low,low,low,single
1717144,4,T,USA,0,Comedy,3.037037037037037,27.0,0,few,low,low,low,single
1717455,4,T,USA,1,Action,2.051094890510949,137.0,1,few,low,low,high,single
1717910,3,T,USA,0,Horror,2.235294117647059,153.0,1,many,low,low,high,single
1718318,4,T,USA,1,Drama,4.22635814889336,994.0,1,many,high,high,high,single
1718342,4,T,USA,0,Adventure,2.4833333333333334,60.0,0,many,low,high,high,single
1718968,3,F,France,1,Drama,3.359375,64.0,0,few,high,high,low,single
1719502,3,T,USA,1,Action,3.321428571428572,28.0,0,few,high,high,low,single
1719614,1,T,UK,0,Comedy,,,0,few,high,high,low,multiple
1720040,3,T,USA,1,Documentary,4.251808972503618,1382.0,1,many,high,high,high,single
1720443,4,T,USA,1,Comedy,3.787234042553192,47.0,0,few,high,high,low,single
1721568,4,T,USA,1,Drama,4.317187044061861,3427.0,1,many,high,high,high,single
1721607,4,T,UK,0,Drama,3.1666666666666665,60.0,0,few,low,low,low,single
1721750,4,T,USA,1,Documentary,3.7222222222222223,36.0,0,few,high,high,low,multiple
1721864,4,T,USA,1,Drama,3.329896907216495,97.0,0,many,low,low,high,single
1721888,3,T,USA,1,Crime,3.169491525423729,295.0,1,many,low,low,high,single
1721919,3,T,USA,1,Comedy,4.026262626262627,990.0,1,many,high,high,high,single
1721967,4,T,USA,1,Crime,4.2265625,640.0,1,many,high,high,high,single
1722098,4,T,USA,1,Documentary,4.013559322033898,295.0,1,few,high,high,low,single
1722164,4,T,USA,0,Comedy,3.7089337175792494,1388.0,1,many,high,high,high,multiple
1722174,4,T,USA,0,Documentary,3.3114754098360657,61.0,0,few,low,high,high,multiple
1722181,3,T,USA,1,Animation,3.071428571428572,112.0,0,many,high,low,high,single
1722198,4,T,USA,1,Crime,3.219047619047619,630.0,1,many,high,high,high,single
1722327,4,T,USA,1,Action,2.0,4.0,0,few,low,low,low,single
1722395,4,T,France,0,Comedy,2.0,1.0,0,many,low,low,low,single
1722617,4,F,other,0,Drama,4.0,1.0,0,few,high,high,low,single
1722761,4,T,USA,1,Drama,3.717948717948718,351.0,1,many,high,high,high,single
1722776,3,T,USA,1,Horror,1.372093023255814,43.0,0,few,low,low,low,single
1722777,3,T,other,1,Drama,2.107142857142857,56.0,0,few,low,low,high,single
1723002,4,T,UK,0,Comedy,3.7777777777777777,9.0,0,few,low,low,low,single
1723532,4,T,USA,1,Comedy,2.765432098765432,81.0,0,few,low,low,high,single
1724000,3,T,USA,1,Drama,3.952380952380953,189.0,1,few,high,high,low,single
1724037,4,T,USA,0,Comedy,2.0,17.0,0,many,low,low,low,multiple
1724179,4,T,USA,0,Animation,3.4282178217821784,404.0,1,few,high,high,high,single
1724180,4,T,USA,0,Adventure,2.8308457711442787,201.0,1,few,high,low,high,multiple
1724190,3,T,UK,1,Horror,3.752276867030965,549.0,1,many,high,low,high,single
1724193,4,T,UK,1,Comedy,2.754716981132076,265.0,1,few,low,low,high,single
1724201,2,T,USA,1,Other,3.8513119533527695,343.0,1,few,high,high,low,single
1724413,4,T,UK,1,Comedy,2.782608695652174,23.0,0,many,low,high,high,single
1724880,4,T,UK,1,Comedy,3.7,390.0,1,many,high,high,high,single
1725437,4,F,other,0,Horror,1.0,1.0,0,many,high,low,low,single
1725774,4,T,USA,0,Adventure,2.200501253132832,399.0,1,few,low,low,high,single
1726761,4,T,USA,1,Comedy,3.39448051948052,616.0,1,many,high,high,high,single
1726934,4,T,USA,0,Adventure,3.5032894736842106,304.0,1,many,high,high,high,multiple
1727017,4,F,other,1,Horror,2.7,10.0,0,many,low,low,low,single
1727082,3,T,USA,1,Crime,4.231155778894473,199.0,1,few,high,high,low,single
1727237,2,T,USA,1,Comedy,3.6310679611650487,103.0,0,few,high,high,low,single
1727348,4,T,USA,1,Comedy,2.375,40.0,0,many,low,low,low,single
1727413,3,T,UK,0,Comedy,4.137472283813747,451.0,1,few,high,high,low,single
1727885,4,T,USA,0,Adventure,2.963636363636364,55.0,0,few,low,low,high,single
1728742,4,T,other,1,Drama,3.25,52.0,0,many,high,low,high,single
1728802,4,T,USA,1,Horror,3.404017857142857,448.0,1,many,high,high,high,single
1728889,2,T,USA,1,Drama,3.392156862745098,51.0,0,few,high,high,low,single
1728948,2,T,USA,1,Comedy,3.45,20.0,0,few,high,high,low,single
1729005,4,T,USA,1,Drama,4.0,2.0,0,few,low,low,low,single
1729026,4,T,USA,1,Drama,3.4133333333333336,225.0,1,many,high,high,high,single
1729240,4,T,USA,1,Drama,3.402061855670103,194.0,1,many,high,low,low,single
1729260,4,T,USA,1,Comedy,2.769230769230769,247.0,1,many,low,low,high,single
1729569,4,T,USA,0,Comedy,3.3241379310344827,145.0,1,many,low,low,low,single
1729579,2,F,other,0,Other,,,0,few,low,low,low,single
1729818,3,T,USA,1,Comedy,4.053024026512014,1207.0,1,many,high,low,high,single
1730457,1,T,UK,0,Other,4.0,1.0,0,few,low,low,low,single
1730566,4,T,USA,1,Drama,3.16,25.0,0,many,low,high,high,single
1730640,4,T,USA,1,Comedy,3.414414414414414,333.0,1,many,low,low,high,single
1730836,4,T,UK,1,Documentary,4.097560975609756,41.0,0,few,high,high,low,single
1730975,3,T,USA,0,Comedy,4.14167916041979,1334.0,1,many,high,high,high,single
1731412,4,T,USA,1,Crime,3.347826086956522,46.0,0,many,low,high,high,single
1731505,2,T,UK,0,Crime,4.0,1.0,0,few,high,high,low,single
1731582,4,T,USA,1,Action,2.480446927374301,179.0,1,many,low,low,high,single
1732344,4,F,other,1,Comedy,3.8764044943820224,89.0,0,many,high,high,low,single
1732496,4,T,USA,0,Adventure,3.483720930232558,645.0,1,few,high,high,high,multiple
1732658,4,T,USA,1,Drama,3.1262939958592133,483.0,1,many,high,high,high,single
1732858,4,T,USA,1,Comedy,2.950310559006211,161.0,1,many,low,high,high,single
1733111,3,F,other,1,Drama,4.173913043478261,23.0,0,few,high,high,low,single
1733479,3,T,USA,1,Drama,4.243197278911564,1176.0,1,many,high,high,high,single
1733566,4,T,USA,1,Drama,4.073541167066347,1251.0,1,many,high,high,high,single
1734162,4,T,USA,0,Comedy,3.0,116.0,0,few,low,low,high,single
1734321,4,T,USA,1,Drama,3.106951871657754,187.0,1,few,high,high,high,single
1734369,3,F,other,1,Drama,4.410714285714286,56.0,0,few,high,high,low,single
1734803,4,T,USA,1,Comedy,3.0029282576866763,1366.0,1,few,low,low,high,single
1735791,4,T,USA,1,Documentary,3.909090909090909,11.0,0,few,high,high,low,single
1736211,4,T,USA,1,Other,3.5039494470774093,633.0,1,many,high,high,high,single
1736268,4,T,USA,1,Action,3.191891891891892,1110.0,1,many,low,high,high,single
1736362,4,T,USA,0,Action,2.476923076923077,130.0,1,many,low,low,high,single
1736592,4,T,USA,1,Comedy,3.804232804232804,945.0,1,many,high,high,high,single
1736794,4,T,USA,1,Action,3.6022304832713754,269.0,1,many,low,low,high,single
1737340,2,T,USA,1,Comedy,4.168154761904762,672.0,1,few,high,high,low,single
1737713,4,F,other,1,Documentary,3.6875,32.0,0,many,high,high,low,single
1737766,3,T,USA,1,Comedy,3.426966292134832,534.0,1,many,high,high,high,single
1738481,4,T,USA,1,Comedy,3.9501404494382015,1424.0,1,many,high,high,high,single
1739234,4,F,other,1,Comedy,,,0,many,high,high,low,single
1740732,4,T,USA,1,Action,2.9130434782608696,23.0,0,many,low,low,high,single
1740752,4,T,USA,1,Action,2.857142857142857,126.0,0,many,low,high,high,single
1740811,3,T,USA,0,Action,3.571428571428572,98.0,0,many,high,high,high,single
1741487,4,T,other,0,Documentary,2.823529411764706,17.0,0,few,high,high,low,single
1741682,4,T,USA,1,Drama,2.7972972972972974,74.0,0,many,low,low,high,single
1742509,3,T,other,1,Crime,3.8322368421052633,304.0,1,few,high,high,low,single
1743028,3,T,USA,0,Comedy,2.6067961165048543,206.0,1,many,low,low,low,single
1743689,3,F,other,1,Comedy,1.0,1.0,0,few,high,high,low,single
1743852,3,T,USA,1,Drama,3.18,50.0,0,few,low,high,high,single
1744178,4,T,UK,0,Comedy,1.5,2.0,0,few,low,low,low,single
1744391,3,T,USA,1,Comedy,3.835766423357664,274.0,1,few,high,high,high,single
1744809,4,T,USA,0,Comedy,3.710373443983402,1205.0,1,many,low,high,high,single
1744811,4,T,USA,0,Action,3.3872993719469644,1433.0,1,many,high,high,high,single
1745373,4,T,UK,0,Drama,,,0,few,high,high,low,single
1745406,4,T,USA,1,Drama,2.128205128205128,117.0,0,many,low,low,high,single
1745530,3,T,USA,0,Action,2.5294117647058822,17.0,0,few,low,low,low,single
1746382,4,T,USA,1,Documentary,3.780882352941176,680.0,1,many,high,low,high,single
1746829,4,T,USA,1,Documentary,4.125,8.0,0,many,high,high,low,single
1747382,4,F,other,1,Drama,3.272727272727273,11.0,0,many,high,high,low,single
1747494,4,T,USA,0,Comedy,1.807692307692308,26.0,0,few,low,low,high,single
1747545,4,T,UK,0,Crime,3.473684210526316,19.0,0,few,low,low,low,single
1747649,4,T,USA,1,Comedy,2.994535519125684,183.0,1,many,low,high,high,single
1747899,4,F,other,1,Drama,4.082677165354331,254.0,1,few,high,high,low,single
1748196,4,T,other,0,Adventure,3.8914905768132497,1751.0,1,many,high,high,high,single
1748219,4,T,other,1,Adventure,3.2906309751434035,523.0,1,many,low,high,high,single
1748315,2,T,USA,0,Comedy,3.580246913580247,81.0,0,few,high,high,low,multiple
1748317,3,T,USA,1,Other,2.9876543209876543,162.0,1,few,high,low,low,single
1748754,4,T,USA,1,Comedy,1.701219512195122,164.0,1,many,low,low,high,single
1748996,4,T,USA,0,Adventure,2.106194690265487,113.0,0,few,low,low,high,single
1749026,4,T,USA,1,Comedy,3.0,4.0,0,many,low,low,low,multiple
1749222,4,F,other,0,Drama,4.163934426229508,61.0,0,many,high,high,low,single
1749247,3,T,USA,1,Comedy,3.138888888888889,360.0,1,many,low,low,high,single
1749438,1,T,USA,0,Comedy,3.0,1.0,0,few,low,low,low,single
1749683,4,T,USA,1,Comedy,3.1497175141242937,354.0,1,many,low,low,high,single
1749731,4,T,USA,1,Adventure,3.9903213317847466,2583.0,1,many,high,high,high,single
1749735,4,T,USA,1,Adventure,3.343696027633852,1158.0,1,many,high,high,high,single
1749737,4,T,USA,1,Adventure,3.2421602787456445,1148.0,1,many,high,high,high,single
1749806,4,T,UK,1,Documentary,3.525,120.0,0,many,low,low,high,single
1749891,4,T,USA,1,Action,3.440736478711162,869.0,1,many,high,high,high,single
1750364,4,T,USA,1,Action,3.2955801104972378,362.0,1,many,high,high,high,single
1750424,4,T,USA,1,Crime,2.9,40.0,0,few,low,low,low,single
1750510,4,T,USA,1,Action,2.426966292134832,89.0,0,many,low,low,high,single
1750660,4,T,USA,1,Crime,3.2046783625730995,171.0,1,many,high,low,low,single
1750728,4,T,USA,0,Horror,2.055555555555556,18.0,0,few,low,low,low,single
1750816,4,T,other,1,Comedy,3.4074074074074074,54.0,0,many,high,high,high,single
1751059,4,F,other,0,Drama,3.826923076923077,52.0,0,few,high,high,low,single
1751071,3,T,USA,0,Crime,4.078838174273859,241.0,1,few,high,high,high,single
1751872,4,T,other,1,Action,2.7333333333333334,45.0,0,many,low,low,high,single
1753266,4,T,USA,0,Adventure,3.2626262626262625,99.0,0,few,high,low,high,single
1753348,2,T,USA,0,Animation,3.738539898132428,589.0,1,few,high,high,high,multiple
1753400,4,T,USA,1,Comedy,3.052083333333333,96.0,0,many,low,low,high,single
1753578,3,T,USA,0,Comedy,3.836021505376344,372.0,1,many,high,high,high,single
1753695,4,T,USA,1,Action,2.3076923076923075,39.0,0,many,low,low,high,single
1753837,4,F,other,1,Documentary,3.7906976744186047,43.0,0,many,high,high,high,single
1753860,4,F,other,1,Drama,3.7777777777777777,9.0,0,few,low,low,low,single
1754754,4,F,USA,1,Documentary,3.888888888888889,45.0,0,many,high,high,low,single
1754799,4,T,USA,1,Action,2.03,300.0,1,many,low,low,low,single
1754884,3,T,France,1,Action,3.0155440414507773,386.0,1,few,low,low,low,single
1755112,4,T,USA,1,Comedy,3.485576923076923,208.0,1,many,high,high,low,single
1755524,3,T,USA,1,Comedy,3.5906735751295336,193.0,1,few,high,high,high,single
1755813,4,T,other,0,Documentary,2.90625,32.0,0,few,high,high,low,single
1756051,4,T,other,0,Adventure,1.55,40.0,0,many,low,low,high,single
1756391,3,T,UK,1,Adventure,3.5502958579881656,169.0,1,many,high,high,high,single
1756768,4,T,USA,1,Other,3.5419440745672435,751.0,1,many,high,low,high,single
1756902,4,T,USA,1,Documentary,3.4960629921259843,127.0,0,many,high,high,low,single
1756980,4,T,USA,1,Drama,3.65079365079365,63.0,0,few,high,high,low,single
1757342,4,T,USA,1,Action,2.257425742574257,606.0,1,many,low,low,high,single
1757347,4,T,USA,1,Action,3.600978336827393,1431.0,1,many,high,high,high,single
1757367,4,T,USA,1,Action,2.642213642213642,777.0,1,many,low,low,high,single
1757378,4,T,USA,1,Action,2.976721629485936,1031.0,1,many,high,high,high,single
1757423,4,T,USA,0,Action,3.560344827586207,232.0,1,few,high,high,low,multiple
1757465,4,F,other,0,Crime,,,0,few,low,low,low,single
1757485,4,T,USA,0,Horror,1.835820895522388,67.0,0,few,low,low,low,single
1757698,3,T,USA,1,Action,2.833333333333333,312.0,1,few,low,low,high,single
1757893,4,T,USA,1,Action,1.6111111111111112,342.0,1,many,low,low,high,single
1758003,1,T,USA,0,Comedy,3.4,10.0,0,few,high,high,low,single
1758767,3,T,USA,1,Comedy,2.6382978723404253,47.0,0,many,low,low,low,single
1758856,4,T,UK,0,Comedy,2.685,200.0,1,many,low,low,high,single
1759189,2,T,UK,0,Action,3.4054054054054053,37.0,0,few,high,high,low,single
1759448,4,T,USA,1,Comedy,2.3,40.0,0,many,low,low,low,single
1759573,4,T,USA,1,Comedy,3.725274725274725,182.0,1,many,high,high,high,single
1759654,4,T,UK,1,Comedy,3.339622641509434,53.0,0,many,low,low,low,single
1759685,4,T,UK,0,Comedy,4.066666666666666,90.0,0,few,high,high,low,single
1759736,1,T,USA,0,,3.0,1.0,0,many,high,high,high,multiple
1759851,4,T,USA,0,Animation,3.8858490566037736,1060.0,1,many,high,high,high,multiple
1759983,4,T,USA,0,Adventure,3.04,475.0,1,few,high,high,high,multiple
1760306,4,T,USA,0,Drama,2.975,120.0,0,few,low,low,high,single
1760386,3,T,USA,1,Adventure,3.479623824451411,319.0,1,few,high,low,high,single
1760449,4,T,UK,1,Comedy,3.380952380952381,21.0,0,many,low,low,low,single
1760586,4,T,other,1,Drama,2.75,4.0,0,many,high,high,low,single
